datetime_gmt8,league,home_name,away_name,Recommendation,confidence_level,line_betted_on_refined,odds_betted_on_refined,ev_for_bet_refined,pred_home_goals,pred_away_goals,synth_ah_line_home_market_based,competition_type,league_tier,shap_home_explanation,shap_away_explanation,kings_call
2025-09-12 18:00:00,Japan J1 League,Machida Zelvia,Yokohama,Yokohama +1.0,High,1.0,1.925,0.19218750000000007,1.0222222222222221,0.0,-1.0,league,3,team_a_xg: -0.572; odds_ft_1: 0.248; odds_ft_2: 0.080,team_b_xg: -0.612; odds_ft_2: -0.089; team_a_xg: -0.055,
2025-09-12 18:00:00,Japan J1 League,Vissel Kobe,Kashiwa Reysol,Kashiwa Reysol +0.25,High,0.25,1.925,0.1332307461116641,0.6,0.3883945750941483,-0.25,league,3,team_a_xg: -0.627; market_prob_u25: -0.066; odds_ft_1: 0.031,team_b_xg: -0.690; odds_ft_2: -0.054; team_a_xg: -0.050,
2025-09-13 02:30:00,Germany Bundesliga,Bayer Leverkusen,Eintracht Frankfurt,Eintracht Frankfurt +0.25,High,0.25,1.925,0.1030698329153561,1.113879003558719,1.0294117647058822,-0.25,league,1,team_a_xg: -0.667; market_prob_u25: 0.057; odds_ft_2: -0.038,team_b_xg: -0.671; market_prob_btts_yes: 0.107; odds_ft_2: 0.083,"Agree: Frankfurt's soaring like an eagle while Leverkusen's stumbling through a managerial mess, turning this +0.25 handicap into a cheeky punt on the underdogs who might just c..."
2025-09-13 02:45:00,France Ligue 1,Olympique Marseille,Lorient,Lorient +1.5,High,1.5,1.925,0.24058191747096214,1.5909090909090908,0.42857142857142855,-1.5,league,1,team_a_xg: -0.557; odds_ft_1: 0.263; odds_ft_2: 0.100,team_b_xg: -0.672; odds_ft_2: -0.131; team_a_xg: -0.051,"Agree: With Marseille's squad looking like a hospital ward escapees, Lorient's +1.5 handicap feels like a safe bet against a team that might fumble more than score."
2025-09-13 17:00:00,Japan J1 League,Avispa Fukuoka,Cerezo Osaka,Avispa Fukuoka +0.25,High,0.25,1.925,0.4174002021598076,0.6,0.43333333333333335,0.25,league,3,team_a_xg: -0.630; odds_ft_1: -0.152; odds_ft_2: -0.051,team_b_xg: -0.642; odds_ft_2: 0.136; team_a_xg: -0.031,
2025-09-13 18:00:00,Japan J1 League,Gamba Osaka,Urawa Reds,Urawa Reds +0.25,High,0.25,1.925,0.15866117450147565,0.6,0.43333333333333335,-0.25,league,3,team_a_xg: -0.612; market_prob_u25: -0.043; odds_ft_x: -0.034,team_b_xg: -0.672; rolling_fouls_for_form_away: -0.077; team_a_xg: -0.061,
2025-09-13 18:00:00,Japan J1 League,Kashima Antlers,Shonan Bellmare,Shonan Bellmare +0.75,High,0.75,1.925,0.13750000000000007,1.0222222222222221,0.0,-0.75,league,3,team_a_xg: -0.584; odds_ft_1: 0.252; odds_ft_2: 0.081,team_b_xg: -0.619; odds_ft_2: -0.095; team_a_xg: -0.050,
2025-09-13 19:30:00,England Premier League,Arsenal,Nottingham Forest,Nottingham Forest +1.25,High,1.25,1.925,0.07220545615079216,1.6296296296296295,0.42857142857142855,-1.25,league,1,team_a_xg: -0.586; odds_ft_1: 0.307; odds_ft_2: 0.098,team_b_xg: -0.639; odds_ft_2: -0.126; odds_ft_1: -0.048,"Agree: With Arsenal's squad looking like a hospital ward on matchday, Forest's +1.25 handicap is a sneaky bet that could leave Gunners fans crying in their pints, as the Tricky ..."
2025-09-13 21:30:00,Germany Bundesliga,Mainz 05,RB Leipzig,Mainz 05 -0.25,High,-0.25,1.925,0.16847723447404772,1.2597402597402598,0.6164383561643836,-0.25,league,1,team_a_xg: -0.638; market_prob_u25: 0.045; rolling_goals_conceded_form_away: 0.027,team_b_xg: -0.668; market_prob_btts_yes: 0.062; team_a_xg: -0.039,Disagree: Backing Mainz at -0.25 is like betting on a leaky boat in a storm – Leipzig's form and squad depth will sink this pick faster than you can say 'underdog delusion.'
2025-09-13 22:00:00,England Premier League,Newcastle United,Wolverhampton Wanderers,Wolverhampton Wanderers +1.25,High,1.25,1.925,0.24277343750000002,1.7275,0.0,-1.25,league,1,team_a_xg: -0.573; odds_ft_1: 0.308; odds_ft_2: 0.090,team_b_xg: -0.620; odds_ft_2: -0.133; team_a_xg: -0.049,"Agree: Wolves +1.25 looks like a howl of a deal, with Newcastle's injury-riddled squad more leaky than a sieve in a storm, giving the underdogs a fighting chance to avoid a thra..."
2025-09-13 22:00:00,England Premier League,Crystal Palace,Sunderland,Sunderland +0.75,High,0.75,1.925,0.09633060849649278,1.113879003558719,0.4594594594594595,-0.75,league,1,team_a_xg: -0.574; odds_ft_1: 0.245; odds_ft_2: 0.094,team_b_xg: -0.632; odds_ft_2: -0.107; market_prob_btts_yes: -0.054,"Agree: Backing Sunderland +0.75 feels like a sly bet on Palace's injury-riddled squad fumbling like butterfingers, giving the underdogs a real shot at not getting pummeled."
2025-09-13 22:15:00,Spain La Liga,Real Sociedad,Real Madrid,Real Sociedad +1.0,High,1.0,1.925,0.19218750000000007,0.0,1.0294117647058822,1.0,league,1,team_a_xg: -0.656; odds_ft_1: -0.244; odds_ft_2: -0.057,team_b_xg: -0.728; odds_ft_2: 0.188; odds_ft_1: 0.063,"Agree: Betting on Real Sociedad +1.0 is like handing Madrid a participation trophy—they're banged up and jet-lagged, so expect a squeaker, not a slaughter."
2025-09-14 00:30:00,Spain La Liga,Athletic Club Bilbao,Deportivo Alavés,Deportivo Alavés +1.0,High,1.0,1.925,0.19218750000000007,1.113879003558719,0.0,-1.0,league,1,team_a_xg: -0.553; odds_ft_1: 0.251; market_prob_u25: -0.085,team_b_xg: -0.613; odds_ft_2: -0.123; market_prob_btts_yes: -0.059,Agree: Backing Alavés +1.0 feels like betting on a rubber band – it'll stretch but won't snap completely against Bilbao's patchy attack.
